neighbor_code,분기당_매출_금액,2340대_매출금액
1000799,138.1720473,0.03553523
1000800,57.81946225,0.01551132
1000801,112.5317071,0.02522765
1000802,117.3095714,0.02453961
1000803,27.92152088,0.00700736
1000804,81.8335476,0.02184642
1000806,132.6494958,0.03763662
1000807,22.58059925,0.00478479
1000809,100.812174,0.02176876
1000810,14.84042133,0.00440473
1000812,83.678005,0.01529295
1000813,48.734532,0.01327605
1000814,25.23846,0.00687719
1000815,115.103273,0.03437128
1000816,23.50303375,0.00647042
1000817,82.79688957,0.01973871
1000818,26.55847575,0.0062467
1000820,204.2997775,0.04135363
1000821,100.3538266,0.02856461
1000823,151.2562093,0.03524545
1000825,79.85548143,0.02070997
1000826,10.460292,0.00276331
1000827,142.1401019,0.03391285
1000828,76.057533,0.00979503
1000829,185.0895938,0.04498725
1000830,129.0633698,0.03188285
1000831,44.139691,0.01067837
1000833,9.618942,0.00169959
1000834,368.2566488,0.10089576
1000835,40.179999,0.01155993
1000836,40.94733125,0.01225231
1000837,295.3341002,0.08650819
1000838,173.3465948,0.0473055
1000839,710.9825401,0.18738915
1000844,357.3474329,0.07644299
1000845,159.2951203,0.03027851
1000846,307.1203761,0.05527131
1000847,270.5531049,0.05363568
1000848,296.1069372,0.06487803
1000849,616.6773929,0.14187097
1000850,165.075826,0.03550213
1000851,232.175103,0.04731184
1000852,367.5888373,0.06152097
1000853,70.417185,0.0170566
1000854,63.183619,0.01295552
1000855,880.2829286,0.15117243
1000856,100.576294,0.02657674
1000857,119.0983115,0.02544596
1000858,161.719168,0.03909035
1000859,417.6324083,0.09050794
1000860,201.204475,0.04438638
1000861,320.9863285,0.05240462
1000862,54.87697462,0.01364772
1000863,359.7729819,0.05629205
1000864,159.9829984,0.02983372
1000865,165.9807404,0.03655269
1000866,1145.372034,0.19937848
1000867,315.3838555,0.06651926
1000868,402.5621868,0.10738228
1000869,6.57425543,0.00142048
1000870,476.1357719,0.0981684
1000871,509.9163953,0.10825747
1000872,111.0641069,0.02836143
1000873,238.4610823,0.04477347
1000875,82.36369022,0.01653944
1000876,47.08783656,0.01011232
1000877,40.447997,0.01080934
1000878,23.80526138,0.0059418
1000879,117.1285082,0.03225285
1000880,40.0993038,0.00911557
1000881,163.9355825,0.03260377
1000882,196.1810187,0.02353627
1000883,146.2746774,0.02614096
1000884,59.36632525,0.01422502
1000885,430.9155113,0.04533053
1000886,149.7670951,0.04031127
1000887,508.9445383,0.11878454
1000888,108.013653,0.02169582
1000889,31.05359275,0.00531922
1000890,117.8769257,0.02142166
1000891,68.9345195,0.01310663
1000892,272.5656806,0.04971349
1000893,89.43287656,0.02047805
1000894,131.5818868,0.0147397
1000895,141.395578,0.03048813
1000896,113.9610875,0.02236046
1000897,42.305838,0.01151196
1000898,140.7192798,0.03048509
1000899,274.8719571,0.07058839
1000900,1382.058466,0.24369872
1000901,318.8672676,0.06100485
1000902,326.6438126,0.07380228
1000903,29.1144565,0.00588819
1000904,286.2514673,0.05119635
1000905,454.7288752,0.12361718
1000906,128.6904866,0.0291413
1000907,295.9892781,0.06046263
1000908,82.0690455,0.01828789
1000909,12.2418265,0.00212342
1000910,147.5475094,0.02678147
1000911,367.9871625,0.05594616
1000912,3.96746075,0.00040968
1000913,345.984743,0.06788054
1000914,200.1315181,0.04707469
1000915,28.07516343,0.00659306
1000916,105.4875793,0.01801376
1000917,271.1286251,0.06416163
1000918,90.56144288,0.01981991
1000919,89.462575,0.01464881
1000920,92.06137792,0.01859288
1000921,57.81898925,0.01299034
1000922,90.05082356,0.01651429
1000923,72.52414938,0.0143739
1000924,208.9653042,0.03926329
1000925,249.7925141,0.04141354
1000926,139.7443444,0.03090978
1000927,453.70968,0.08810476
1000928,73.28948033,0.01469922
1000929,466.8429842,0.11429764
1000930,558.4736773,0.08743777
1000931,270.9493148,0.0514408
1000932,259.7918534,0.05817133
1000933,140.2103335,0.03417022
1000934,56.40541573,0.01185962
1000935,1190.739607,0.20064798
1000936,143.4694963,0.03398731
1000937,281.7406935,0.06663769
1000938,5.710259,0.00166039
1000939,97.8934605,0.01936041
1000940,366.2668419,0.06819242
1000941,346.3774033,0.07739727
1000942,32.74525975,0.00730757
1000943,204.6410718,0.04175857
1000944,131.4039914,0.03270541
1000945,271.2839305,0.07102537
1000946,187.4344729,0.0403039
1000947,182.7895636,0.05005935
1000948,103.304212,0.02348657
1000949,74.9233745,0.0130004
1000950,24.67239775,0.00523885
1000951,223.1671991,0.05731491
1000952,94.5062065,0.02032496
1000953,70.85024733,0.01695357
1000954,325.6849216,0.07640188
1000955,53.556935,0.00929269
1000956,91.96143475,0.02135837
1000957,196.442697,0.02877482
1000958,802.1955445,0.14734193
1000959,202.3456708,0.04729169
1000960,57.72785433,0.01104506
1000961,362.9462247,0.05710769
1000962,373.0070301,0.06864844
1000963,211.870458,0.04889343
1000964,220.7536807,0.04970853
1000965,75.48322225,0.01611587
1000966,9.251066,0.00221753
1000967,278.3817583,0.04535735
1000968,225.3410053,0.05488062
1000969,83.42601025,0.0186723
1000971,6.72943525,0.00044418
1000972,47.86597525,0.01079421
1000973,88.08517075,0.02209577
1000974,73.58448075,0.01250174
1000975,9.37539425,0.00216618
1000976,39.21759992,0.00824176
1000977,204.3246093,0.04204971
1000978,113.335695,0.02662737
